	A	B	C	D	E
0	0.306095367	0.352908527	0.6850795	0.654122557	0.139987452
1	0.882213722	0.501144565	0.587999524	0.749708979	0.644455688
2	0.519966141	0.484530419	0.769464479	0.887640017	0.540251925
5	0.827814987	0.674120058	0.798710326	0.888038831	0.785520139
10	0.964312537	0.810878055	0.846008206	0.873297471	0.974686877
