	A	B	C	D	E
0	0.306095367	0.261099555	0.591955305	0.961289699	0
1	0.757158424	0.463434439	0.508425842	0.890415778	0.602683959
2	0.504479739	0.447059981	0.845895355	0.897953667	0.531043546
5	0.810404417	0.643113511	0.864557038	0.887743786	0.712546361
10	0.946446802	0.855406628	0.91605337	0.895609942	0.903075976
