	A	B	C	D	E
0	0.2	0.3	0.5	1	0
1	0.4	0.5	0.5	1	0.3
2	0.2	0.4	0.6	1	0.4
5	0.6	0.5	0.7	1	0.6
10	1	0.6	0.6	1	0.6
