,A,B,C,D,E
0,0.15,0.4,0.35,0.9,0.1
1,0.1,0.3,0.7,0.95,0.1
2,0.1,0.3,0.75,0.95,0.1
3,0.1,0.3,0.65,1,0.2
4,0.1,0.3,0.65,1,0.15
5,0.1,0.3,0.6,1,0.2
6,0.1,0.35,0.6,1,0.15
7,0.1,0.3,0.6,1,0.2
8,0.1,0.3,0.6,1,0.2
9,0.1,0.3,0.6,1,0.2
10,0.1,0.3,0.6,1,0.2
