,Albert Speer,
,Legion Speer,
,Albert Speer Jr.,
,Albert Friedrich Speer,
,Transportflotte Speer,
,Speers Creek,
,Speers,
,Blake Speers,
,Arkitektur i Nazityskland,
,Emory Speer,
,Vee Speers,
,Speers, Pennsylvania,
,Chli Speer,
,Speers Lake,
,Speers Island,
,Lophoblatta speerae,
,Speer (berg i Schweiz),
,Joachim Fest,
,Speers Creek (vattendrag i Australien),
,Rudolf Wolters,
,Speer Island,
,Speers Point Park,
,Speers Slough,
,Speers Creek (vattendrag i Kanada),
,Polykrati,
,Spandaufängelset,
,Posenkonferensen,
,P-1000,
,Obersalzberg,
,Berghof,
,Gitta Sereny,
,Karl Saur,
,Nationalsozialistisches Kraftfahrkorps,
,Welthauptstadt Germania,
,Volkshalle,
,Arkitektens mage,
,Sidbena,
,Fritz Todt,
,Hitlerjugends hedersutmärkelse,
,Världsutställningen i Paris 1937,
,Albert Ganzenmüller,
,Axelmakternas ledare i andra världskriget,
,Arno Breker,
,Siegesallee,
,Sebastian Koch,
,Heinrich Tessenow,
,Fyraårsplanen,
,André Hennicke,
,Tiergarten (stadsdel),
,Rikskansliet i Berlin,
