,Legion Speer,
,Albert Speer,
,Albert Speer Jr.,
,Albert Friedrich Speer,
,Transportflotte Speer,
,Speers Creek,
,Speers,
,Blake Speers,
,Emory Speer,
,Vee Speers,
,Arkitektur i Nazityskland,
,Speers, Pennsylvania,
,Joachim Fest,
,Speers Lake,
,Chli Speer,
,Speers Island,
,Lophoblatta speerae,
,Speer (berg i Schweiz),
,Speers Creek (vattendrag i Australien),
,Speer Island,
,Speers Point Park,
,Speers Slough,
,Speers Creek (vattendrag i Kanada),
,Polykrati,
,Posenkonferensen,
,Rudolf Wolters,
,Karl Saur,
,Arkitektens mage,
,Nationalsozialistisches Kraftfahrkorps,
,Gitta Sereny,
,Volkshalle,
,Fritz Todt,
,Welthauptstadt Germania,
,Sidbena,
,Hitlerjugends hedersutmärkelse,
,P-1000,
,Albert Ganzenmüller,
,Axelmakternas ledare i andra världskriget,
,Arno Breker,
,Berghof,
,Världsutställningen i Paris 1937,
,Heinrich Tessenow,
,André Hennicke,
,Organisation Todt,
,Rikskansliet i Berlin,
,Sebastian Koch,
,Oberstgruppenführer,
,Korherr-rapporten,
,Franz Xaver Dorsch,
,Obersalzberg,
