0,15130,Tempel
1,4962707,Solens tempel
2,4914601,Buddhistiska tempel
3,6353319,Tempel-Berg
4,3879485,Jupiters tempel
5,6888919,Månens tempel
6,7038296,Desa Tempel
7,8252622,3808 Tempel
8,875764,Tempel 2
9,8150106,Placide Tempels
10,3996371,Jordbrukets tempel
11,4909219,Kättarnas tempel
12,94729,Pachacamac (tempel)
13,7040824,Tempel (olika betydelser)
14,8253525,Juno Sospitas tempel
15,7105610,Gunung Tempel
16,6888887,Jordens tempel
17,4895914,Augustus tempel, Pula
18,1148426,Lyckans tempel
19,8241146,Ares tempel i Aten
20,164913,Tempel 1
21,218610,Jerusalems tempel
22,61045,Tempel Riddare Orden
23,8064380,Tempel av alkohol
24,8253538,Juno Reginas tempel
25,96444,Jupiter Stators tempel
26,2792306,55P/Tempel-Tuttle
27,616730,Bacchi Tempel
28,96263,Ernst Wilhelm Leberecht Tempel
29,8253554,Magna Maters tempel
30,669657,Solens tempel (film)
31,8239759,Afrodite Euploias tempel
32,1131604,Neptuni tempel
33,6888885,Solens tempel (Peking)
34,8253612,Athena Itonias tempel
35,8238947,Juno Monetas tempel
36,54951,Hercules Victors tempel
37,8253533,Juno Lucinas tempel
38,4900418,Claudius tempel
39,3996335,Förfädernas tempel
40,4904140,Vindarnas tempel
41,8283529,Apollo Sosianus tempel
42,1063095,Jerusalems tredje tempel
43,152435,Himmelens tempel
44,8239209,Afrodites tempel på Kythera
45,1971,Uppsala tempel
46,7101803,Kecamatan Tempel
47,7109553,Ci Tempel
48,8241147,Hefaistos tempel i Aten
49,3972723,Solens tempel (datorspel)
