,flygplats,slott,tempel
"0.9",0.960116976817312,0.853496556818365,0.819451689413634
"0.7",0.870410348276115,0.761982171157379,0.819451689413634
"0.3",0.663260437538582,0.477849133250572,0.208040807342145
"0.1",0.33356303117687,0.183215795609961,0.193541449531782
